Timestamp,What school are you associated with?,What grade are you in?,What is your gender?,What is your race or ethnicity? Check all that apply.,Are you part of any other minority group?,What is your political affiliation?,Do your parents generally share this affiliation?,Do you favor or oppose laws allowing transgender people to choose a bathroom based on their gender identity?,Do you favor greater or looser restrictions on the process of purchasing a gun?,Do you favor or oppose decreasing military spending in the national budget in favor of other government programs?,Do you favor or oppose testing welfare recipients for drug use before distributing benefits?,Do you favor or oppose requiring the use of body cameras on police officers?,Do you favor or oppose increased environmental regulations on businesses and corporations?,Are you Pro-Life or Pro-Choice on the issue of abortion legislation?,"Should the government increase or decrease funding for social welfare programs (food stamps, medicare, social security, etc.)?",Do you favor or oppose increasing restrictions on immigration into the US?,Should the federal government set a national minimum wage or should state governments set the minimum wage based on their own needs?,Do you support the movement Black Lives Matter? ,Do you favor or oppose deploying more American ground troops to fight ISIS in the Middle East?,"Given that our European allies don't pay NATO proportionally, should we fulfill our promise to support them in military conflicts?","Do you favor or oppose hydraulic fracturing or ""fracking"" as a means of increasing the production of natural gas and oil in the U.S.?",Do you favor or oppose the government prohibiting recreational marijuana?,Do you agree or disagree that men and women should have equal financial compensation in the workplace and equal obligation of citizenship such as signing up for the military draft?,Which presidential candidate do you support?,Which senatorial candidate do you support?,Comments?
2016/10/17 11:06:03 AM EST,Columbus School for Girls,11,Female,Caucasian,LGBT+,Democratic Party,No,1,1,2,3,1,2,1,2,2,2,1,2,3,2,4,1,Hillary Clinton,Ted Strickland,
2016/10/17 11:06:04 AM EST,Columbus School for Girls,11,Female,Caucasian,LGBT+,No Party Affiliation,No,1,1,2,2,1,1,5,3,1,1,1,1,3,2,4,1,Jill Stein,No opinion,
2016/10/17 11:08:03 AM EST,Columbus School for Girls,12,Female,Caucasian,No,Democratic Party,Yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,Hillary Clinton,Ted Strickland,
2016/10/17 11:08:57 AM EST,Columbus School for Girls,10,Female,Caucasian,No,No Party Affiliation,No,5,1,3,4,2,1,1,2,2,5,3,3,2,5,2,1,Gary Johnson,No opinion,
2016/10/17 11:10:26 AM EST,Columbus School for Girls,11,Female,Caucasian,No,Libertarian Party,No,4,1,3,5,1,3,4,4,4,5,1,2,4,2,1,1,Gary Johnson,Ted Strickland,
2016/10/17 11:10:29 AM EST,Columbus School for Girls,10,Female,Caucasian,No,No Party Affiliation,No,3,2,3,3,1,2,1,2,3,4,2,2,2,3,5,1,Hillary Clinton,No opinion,
2016/10/17 11:10:29 AM EST,Columbus School for Girls,9,Female,Middle Eastern;Other,No,Democratic Party,Yes,1,1,3,1,1,3,5,1,,,,,,,,,Donald Trump,No opinion,
2016/10/17 11:10:32 AM EST,Columbus School for Girls,Faculty,Female,Caucasian,No,Democratic Party,No,5,1,3,1,2,2,1,2,2,5,1,2,1,1,1,1,Hillary Clinton,Ted Strickland,
2016/10/17 11:12:01 AM EST,Columbus School for Girls,11,Female,Asian;Indian,No,No Party Affiliation,I don't know,1,2,4,3,2,2,5,2,2,3,1,3,3,3,2,1,I don't like any of them,No opinion,
2016/10/17 11:12:03 AM EST,Columbus School for Girls,Faculty,Female,,,Republican Party,Yes,1,3,5,5,3,3,1,5,4,5,5,3,4,2,1,3,Donald Trump,Rob Portman,
2016/10/17 11:14:00 AM EST,Columbus School for Girls,11,Female,Caucasian,No,No Party Affiliation,No,1,3,3,3,2,3,1,3,3,3,1,3,3,3,2,1,No opinion,No opinion,
2016/10/17 11:14:33 AM EST,Columbus School for Girls,12,Female,Indian,No,No Party Affiliation,No,3,1,3,3,2,3,1,3,2,3,2,3,3,3,1,1,Hillary Clinton,Rob Portman,
2016/10/17 11:17:54 AM EST,Columbus School for Girls,12,Female,African-American;Caucasian,LGBT+,Democratic Party,Yes,1,2,2,,1,1,2,,2,4,1,,,1,1,1,Hillary Clinton,,
2016/10/17 11:18:48 AM EST,Columbus School for Girls,Faculty,Female,Caucasian,No,Democratic Party,Yes,1,1,2,1,3,2,1,2,2,1,2,3,2,2,2,4,Hillary Clinton,Ted Strickland,
2016/10/17 11:19:05 AM EST,Columbus School for Girls,12,Female,Caucasian,No,Republican Party,Yes,1,4,4,5,4,3,5,5,3,4,2,,,,5,,I don't support Clinton or Trump but because I agree with Trump's economic standing I will vote for him.,Rob Portman,
2016/10/17 11:19:20 AM EST,Columbus School for Girls,9,Female,Hispanic;Pacific Islander;Other,LGBT+,Democratic Party,Yes,2,1,3,3,3,1,2,3,3,3,1,3,3,2,2,1,Hillary Clinton,No opinion,
2016/10/17 11:19:39 AM EST,Columbus School for Girls,Faculty,Female,Caucasian,No,Democratic Party,Yes,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,Hillary Clinton,,
2016/10/17 11:20:09 AM EST,Columbus School for Girls,Faculty,Female,Caucasian,No,Democratic Party,Yes,1,1,1,2,1,1,1,1,2,1,1,2,3,1,2,1,Hillary Clinton,Ted Strickland,
2016/10/17 11:20:16 AM EST,Columbus School for Girls,10,Female,Caucasian,No,Republican Party,One does and the other one doesn't,2,4,3,5,3,2,1,4,5,4,1,1,3,4,5,1,Donald Trump,No opinion,
2016/10/17 11:20:40 AM EST,Columbus School for Girls,11,Female,Caucasian;Hispanic,No,No Party Affiliation,No,1,1,1,4,1,1,1,1,2,2,1,1,2,1,1,1,Jill Stein,Ted Strickland,
2016/10/17 11:21:44 AM EST,Columbus School for Girls,10,Female,Caucasian,No,No Party Affiliation,Yes,1,2,3,3,1,2,1,1,3,2,1,2,5,3,1,1,Hillary Clinton,No opinion,
2016/10/17 11:22:03 AM EST,Columbus School for Girls,11,Female,African-American,No,Democratic Party,Yes,2,2,2,3,1,2,1,2,2,2,1,2,3,3,3,2,Hillary Clinton,Ted Strickland,
2016/10/17 11:24:20 AM EST,Columbus School for Girls,Faculty,Female,Caucasian,No,Democratic Party,Yes,1,1,2,2,1,2,1,2,2,2,1,3,2,2,1,1,Hillary Clinton,Ted Strickland,
2016/10/17 11:25:02 AM EST,Columbus School for Girls,Faculty,Female,Caucasian,No,Republican Party,One does and the other one doesn't,2,3,3,2,2,2,5,3,4,4,2,3,2,2,2,1,Hillary Clinton,No opinion,
2016/10/17 11:26:54 AM EST,Columbus School for Girls,9,Female,Caucasian,No,No Party Affiliation,No,3,3,3,3,1,3,1,3,3,5,4,4,3,3,3,1,John Kasich,Rob Portman,
2016/10/17 11:27:22 AM EST,Columbus School for Girls,11,Female,Asian;Pacific Islander,No,Democratic Party,Yes,1,3,3,4,1,2,1,3,3,4,1,3,3,3,2,1,Hillary Clinton,No opinion,
2016/10/17 11:28:31 AM EST,Columbus School for Girls,10,Female,Caucasian;Middle Eastern,No,No Party Affiliation,No,3,1,3,3,3,3,3,2,3,3,2,3,3,3,2,1,No opinion,No opinion,
2016/10/17 11:28:31 AM EST,Columbus School for Girls,Faculty,Female,Caucasian,No,No Party Affiliation,Yes,2,1,2,3,1,1,2,3,1,4,1,3,3,1,3,2,Hillary Clinton,Ted Strickland,
2016/10/17 11:29:16 AM EST,Columbus School for Girls,10,Female,Caucasian,No,No Party Affiliation,No,3,1,4,2,2,3,1,3,4,5,3,4,2,2,5,1,No opinion,No opinion,
2016/10/17 11:29:20 AM EST,Columbus School for Girls,10,Female,Caucasian,LGBT+,Democratic Party,Yes,1,1,2,3,3,1,1,2,1,2,1,3,3,1,2,1,Hillary Clinton,Ted Strickland,
2016/10/17 11:29:53 AM EST,Columbus School for Girls,12,Female,Other,No,Republican Party,Yes,4,2,4,3,2,2,4,5,2,1,3,2,4,2,2,1,Donald Trump,Rob Portman,
2016/10/17 11:30:57 AM EST,Columbus School for Girls,9,Female,Caucasian,No,No Party Affiliation,One does and the other one doesn't,1,2,3,4,2,2,5,4,4,4,3,3,3,3,5,1,Gary Johnson,Rob Portman,
2016/10/17 11:33:11 AM EST,Columbus School for Girls,9,Female,African-American,No,Democratic Party,Yes,1,1,3,2,1,3,2,2,1,2,1,2,2,3,1,3,Hillary Clinton,No opinion,
2016/10/17 11:36:13 AM EST,Columbus School for Girls,10,Female,African-American,No,No Party Affiliation,No,5,3,2,4,2,3,4,3,2,3,1,2,4,3,4,1,No opinion,Rob Portman,
2016/10/17 11:38:28 AM EST,Columbus School for Girls,11,Female,Caucasian,No,Republican Party,Yes,3,2,2,5,1,2,1,4,4,4,2,3,4,3,2,1,Donald Trump,Rob Portman,
2016/10/17 11:39:15 AM EST,Columbus School for Girls,9,Female,Asian;Middle Eastern;Pacific Islander,No,Libertarian Party,Yes,1,2,3,2,3,2,1,3,3,4,1,4,3,2,5,1,Gary Johnson,No opinion,"Feminist, BLM supporter, LGBTQ community supporter, Libertarian/republican"
2016/10/17 11:39:27 AM EST,Columbus School for Girls,Faculty,Female,Caucasian,No,No Party Affiliation,No,4,1,1,2,2,2,5,2,2,5,2,2,2,2,4,3,Hillary Clinton,Rob Portman,
2016/10/17 11:41:48 AM EST,Columbus School for Girls,10,Female,Caucasian;Hispanic;Native American,No,Republican Party,One does and the other one doesn't,4,1,3,3,2,4,5,4,5,4,5,4,3,3,3,3,Donald Trump,Rob Portman,
2016/10/17 11:44:50 AM EST,Columbus School for Girls,12,Female,African-American,No,Democratic Party,One does and the other one doesn't,3,1,3,2,1,1,1,3,2,3,1,3,3,1,2,1,Hillary Clinton,No opinion,
2016/10/17 11:45:27 AM EST,Columbus School for Girls,Faculty,Female,Caucasian;Hispanic,LGBT+,No Party Affiliation,Yes,1,1,2,4,1,2,1,3,1,5,1,3,2,2,1,1,Hillary Clinton,No opinion,
2016/10/17 11:46:49 AM EST,Columbus School for Girls,Faculty,Female,Caucasian,No,Democratic Party,Yes,1,1,2,4,3,1,1,3,1,5,1,2,3,1,2,1,Hillary Clinton,Rob Portman,
2016/10/17 11:55:26 AM EST,Columbus School for Girls,10,Female,Caucasian,No,Democratic Party,I don't know,1,1,3,3,3,3,1,1,2,2,1,2,1,3,1,1,Hillary Clinton,No opinion,
2016/10/17 12:02:57 PM EST,Columbus School for Girls,11,Female,Caucasian,No,No Party Affiliation,No,1,3,3,5,1,1,5,2,3,4,2,4,3,1,2,2,No opinion,No opinion,I am scared for the future of the United States of America.
2016/10/17 12:04:24 PM EST,Columbus School for Girls,Faculty,Female,Caucasian,,Democratic Party,I don't know,2,1,3,1,1,1,2,1,1,1,1,3,3,1,4,2,Hillary Clinton,Ted Strickland,
2016/10/17 12:11:36 PM EST,Columbus School for Girls,12,Female,Caucasian;Indian;Other,No,Democratic Party,One does and the other one doesn't,3,1,3,5,2,2,5,2,2,4,1,2,3,3,2,1,Gary Johnson,Rob Portman,
2016/10/17 12:15:14 PM EST,Columbus School for Girls,11,Female,Caucasian,No,Republican Party,Yes,5,1,5,5,3,3,1,4,5,5,4,4,4,3,5,1,Donald Trump,Rob Portman,
2016/10/17 12:16:19 PM EST,Columbus School for Girls,12,Female,Middle Eastern,,Democratic Party,Yes,1,1,1,3,1,1,2,2,1,1,1,2,3,1,1,1,Hillary Clinton,Ted Strickland,
2016/10/17 12:20:33 PM EST,Columbus School for Girls,12,Female,Asian,No,No Party Affiliation,One does and the other one doesn't,4,2,3,4,3,2,4,2,4,2,4,3,3,2,5,1,None,Rob Portman,
2016/10/17 12:23:24 PM EST,Columbus School for Girls,Faculty,Female,Caucasian,,Democratic Party,No,1,1,4,4,2,1,1,2,3,1,2,2,1,1,2,1,Hillary Clinton,Ted Strickland,
2016/10/17 12:23:53 PM EST,Columbus School for Girls,Faculty,Female,Caucasian,,Democratic Party,No,2,1,1,2,2,1,2,2,2,3,2,2,2,3,2,2,Hillary Clinton,Ted Strickland,
2016/10/17 12:24:09 PM EST,Columbus School for Girls,9,Female,Asian;Caucasian,No,Democratic Party,Yes,2,1,3,4,1,1,1,3,1,2,1,3,2,1,5,1,Hillary Clinton,Ted Strickland,I believe that pressing environmental issues should come first on our government's list of fixing things. 
2016/10/17 12:26:56 PM EST,Columbus School for Girls,Faculty,Female,Caucasian,No,Democratic Party,No,1,2,4,4,2,2,1,3,3,1,2,2,,1,2,1,Hillary Clinton,Rob Portman,
2016/10/17 12:27:54 PM EST,Columbus School for Girls,11,Female,African-American;Asian;Hispanic,No,Republican Party,No,3,1,2,4,3,2,1,4,2,4,1,3,2,3,5,2,Hillary Clinton,No opinion,
2016/10/17 12:29:38 PM EST,Columbus School for Girls,Faculty,Female,Caucasian,No,Democratic Party,No,1,1,3,4,3,1,2,2,2,1,1,3,2,1,3,1,Hillary Clinton,Ted Strickland,"You may want to add ""prefer not to answer"" to the ethnicity and minority group questions on the first page. "
2016/10/17 12:33:46 PM EST,Columbus School for Girls,9,Female,Asian,No,Democratic Party,I don't know,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Bernie Sanders (feel the bern),Rob Portman,
2016/10/17 12:34:55 PM EST,Columbus School for Girls,Faculty,Male,Caucasian,No,Democratic Party,One does and the other one doesn't,1,1,3,2,1,1,1,2,3,2,1,4,2,3,1,1,Hillary Clinton,Ted Strickland,
2016/10/17 12:37:33 PM EST,Columbus School for Girls,9,Female,Caucasian,No,Democratic Party,One does and the other one doesn't,5,2,1,3,2,2,3,3,2,4,3,2,2,2,2,1,Hillary Clinton,Rob Portman,"For the ""black lives matter"" question I am iffy because I think that all lives matter..."
2016/10/17 12:39:41 PM EST,Columbus School for Girls,9,Female,Caucasian,No,Republican Party,I don't know,5,4,4,4,2,3,5,4,5,4,4,3,4,3,5,4,Donald Trump,Rob Portman,
2016/10/17 12:39:47 PM EST,Columbus School for Girls,9,Female,Caucasian,No,Republican Party,One does and the other one doesn't,3,2,3,3,1,2,3,4,3,2,2,2,2,3,1,1,Donald Trump,Rob Portman,
2016/10/17 12:40:44 PM EST,Columbus School for Girls,11,Female,Caucasian,No,Democratic Party,Yes,1,1,3,4,2,1,1,2,2,5,1,3,3,3,3,1,Hillary Clinton,Rob Portman,
2016/10/17 12:41:29 PM EST,Columbus School for Girls,9,Female,Caucasian,No,Republican Party,Yes,4,5,3,5,2,4,4,5,5,4,5,4,2,4,2,3,Donald Trump,Rob Portman,
2016/10/17 12:42:53 PM EST,Columbus School for Girls,9,Female,Caucasian,No,No Party Affiliation,No,4,1,3,4,2,3,4,1,3,4,4,5,2,3,5,3,No opinion,No opinion,
2016/10/17 12:42:56 PM EST,Columbus School for Girls,Faculty,Female,Caucasian,No,Democratic Party,No,1,1,3,1,2,1,1,1,2,2,1,2,1,3,1,1,Hillary Clinton,Ted Strickland,
2016/10/17 12:53:42 PM EST,Columbus School for Girls,Faculty,Female,Caucasian,No,Democratic Party,Yes,1,1,2,1,2,1,1,1,1,1,1,3,1,1,3,1,Hillary Clinton,Ted Strickland,
2016/10/17 12:57:54 PM EST,Columbus School for Girls,9,Female,Caucasian,No,Democratic Party,Yes,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,Hillary Clinton,Ted Strickland,
2016/10/17 12:58:27 PM EST,Columbus School for Girls,12,Female,Caucasian,No,Democratic Party,Yes,1,1,3,5,1,4,1,3,3,1,1,1,1,3,1,1,Hillary Clinton,Ted Strickland,
2016/10/17 12:58:27 PM EST,Columbus School for Girls,12,Female,Caucasian,,Democratic Party,One does and the other one doesn't,1,1,3,5,1,3,1,2,3,2,1,1,1,3,1,1,Hillary Clinton,Ted Strickland,
2016/10/17 12:58:32 PM EST,Columbus School for Girls,9,Female,Caucasian,No,Democratic Party,No,2,3,4,2,2,3,1,3,2,2,2,4,3,2,1,4,Hillary Clinton,No opinion,
2016/10/17 12:58:58 PM EST,Columbus School for Girls,9,Female,Caucasian,LGBT+,No Party Affiliation,I don't know,1,1,2,3,1,2,1,,2,3,1,3,3,3,3,1,Hillary Clinton,No opinion,
2016/10/17 1:10:42 PM EST,Columbus School for Girls,10,Female,Asian;Caucasian,No,No Party Affiliation,No,1,2,1,3,3,3,1,2,4,2,5,1,2,4,1,1,Hillary Clinton,No opinion,
2016/10/17 1:14:49 PM EST,Columbus School for Girls,9,Female,Caucasian,No,No Party Affiliation,No,1,2,3,3,2,2,1,3,2,3,1,3,3,3,1,1,Anyone but Trump,No opinion,
2016/10/17 1:20:20 PM EST,Columbus School for Girls,11,Female,Caucasian,No,Republican Party,One does and the other one doesn't,1,2,2,3,1,2,3,3,4,1,1,2,2,3,1,1,Donald Trump,Rob Portman,
2016/10/17 1:22:52 PM EST,Columbus School for Girls,Faculty,Male,Caucasian,No,No Party Affiliation,No,4,3,4,4,5,2,1,3,3,5,5,1,,2,2,2,Hillary Clinton,,"The question about equal compensation and citizen duties for males and females should be two questions, because deciding those issues, respectively, requires different sets of criteria. I strongly agree with equal financial compensation, but believe we need to take into account different physical (not intellectual) abilities regarding military service."
2016/10/17 1:23:11 PM EST,Columbus School for Girls,10,Female,Caucasian,No,No Party Affiliation,No,3,1,3,3,3,3,1,3,2,2,1,4,3,3,3,1,Hillary Clinton,No opinion,
2016/10/17 1:24:16 PM EST,Columbus School for Girls,10,Female,Caucasian,immigrant,Democratic Party,Yes,2,1,2,5,1,1,1,2,2,1,1,3,5,2,1,1,Hillary Clinton,Ted Strickland,
2016/10/17 1:25:43 PM EST,Columbus School for Girls,10,Female,Caucasian,No,Democratic Party,Yes,2,2,3,3,2,2,1,2,2,3,1,3,1,2,1,1,Hillary Clinton,No opinion,
2016/10/17 1:31:23 PM EST,Columbus School for Girls,Faculty,Female,Caucasian,atheist,Democratic Party,No,1,1,2,3,2,2,1,2,3,3,1,3,3,4,3,1,Hillary Clinton,Ted Strickland,
2016/10/17 1:35:52 PM EST,Columbus School for Girls,10,Female,Other,No,Republican Party,Yes,4,2,3,3,2,3,2,3,4,4,3,4,4,3,4,1,Donald Trump,No opinion,
2016/10/17 1:36:20 PM EST,Columbus School for Girls,Faculty,Female,Caucasian,No,Democratic Party,No,1,1,1,3,3,1,1,3,2,4,3,2,3,2,1,1,Hillary Clinton,Ted Strickland,
2016/10/17 1:36:43 PM EST,Columbus School for Girls,10,Female,Caucasian,No,No Party Affiliation,I don't know,5,2,3,4,3,2,5,3,4,4,3,2,3,3,5,1,Donald Trump,,
2016/10/17 1:43:47 PM EST,Columbus School for Girls,11,Female,African-American,,Democratic Party,Yes,2,1,2,2,1,3,1,2,2,4,2,1,,,1,1,No opinion,No opinion,
2016/10/17 2:08:26 PM EST,Columbus School for Girls,Faculty,Male,Caucasian,No,Democratic Party,No,2,1,3,2,2,2,1,2,2,2,2,4,2,3,2,1,Hillary Clinton,Ted Strickland,
2016/10/17 2:22:00 PM EST,Columbus School for Girls,9,Female,Caucasian,No,No Party Affiliation,No,1,2,2,3,1,2,2,3,2,2,1,3,2,3,3,1,No opinion,No opinion,
2016/10/17 2:40:41 PM EST,Columbus School for Girls,10,Prefer not to answer,Caucasian,Disabled;LGBT+;Plus-sized,Democratic Party,Yes,1,1,2,3,1,1,1,2,4,1,1,2,3,2,1,1,Hillary Clinton,No opinion,
2016/10/17 2:45:20 PM EST,Columbus School for Girls,Faculty,Female,Caucasian,No,Democratic Party,One does and the other one doesn't,1,1,4,5,1,2,1,3,3,3,3,3,2,2,2,1,Hillary Clinton,,
2016/10/17 3:10:23 PM EST,Columbus School for Girls,Faculty,Male,Caucasian,No,Democratic Party,,1,1,2,1,1,2,1,2,2,2,2,1,1,1,2,1,Hillary Clinton,Ted Strickland,Great poll!  Love the work you are doing!
2016/10/17 3:20:47 PM EST,Columbus School for Girls,10,Female,Caucasian,No,Democratic Party,Yes,2,1,1,1,3,1,1,1,1,1,1,3,1,2,4,1,Hillary Clinton,Ted Strickland,
2016/10/17 3:42:53 PM EST,Columbus School for Girls,12,Female,Caucasian,No,No Party Affiliation,No,3,1,2,2,1,1,5,2,1,2,1,2,1,3,3,1,No opinion,No opinion,n/a
